external_gene_name	width
APBA2	233833
MAP2K3	30569
EFCAB1	24523
TMSB10	1016
ASTE1	13775
RNF19A	79159
PEX3	39812
GABARAPL2	11507
MYOC	17272
SH3YL1	48669
FAM136A	6116
VCL	126171
DEPDC1B	103279
DAPK2	164998
NSMAF	76346
ADSS2	43416
STAP1	48611
TIMP2	72411
RFC1	78920
TBC1D23	64260
CUL3	115248
MYOM2	120507
OTC	68861
CYP46A1	42998
ZZZ3	121004
SLC18A1	38352
USP2	26497
CASR	107947
TUBG2	7723
RPL26L1	11043
FLT4	48119
NSUN2	34053
FBXO42	105641
MFAP3	181573
MRI1	9761
METTL1	3649
HOXC8	3785
AGA	11664
PI4K2B	45172
BOD1L1	58988
MAT2B	16241
TLL1	231221
EDC4	11448
TRIO	388787
VCAN	110686
CLEC16A	237623
MSR1	459613
CDH1	98250
MTREX	117591
DNAH5	254213
ZFYVE16	75367
RIPOR1	28371
C6	119205
RAI14	176285
SOX30	45802
PNKP	18470
BEST2	6757
PHLPP2	86867
SPDL1	21143
STAU2	327340
SLC66A1	16975
CTNS	25075
RTN4R	41832
PHF23	4694
CDH10	157879
INPP4A	149537
RAB27B	177657
PSMA4	12013
MYO16	611854
LSG1	31673
PARP3	6523
TNC	98683
THAP3	10721
RIPOR3	105420
TDP1	89830
AIFM2	34712
C2orf83	38517
SPATA7	85427
MED17	30737
RETSAT	12577
CAPG	23680
AP2S1	12857
USH2A	800558
ZPBP	270909
TG	267946
ADAM28	64979
BARX2	76340
DCUN1D1	47880
JADE2	58919
ZIC2	4982
LCP2	51586
TRIT1	45402
ADRB1	2853
GUCA2B	2411
CUL7	16329
CTNNA1	324068
PHKA2	92299
CNTLN	368942
EPHA3	374514
HSPA5	6491
DSG2	50832
GEMIN8	21615
OFD1	34613
GPM6B	167700
MAGEC2	2949
PREX2	284987
WDR37	82847
YTHDC2	81592
CTPS2	124938
ATP6V1H	128016
POLR2B	53437
FAM214A	128501
ARAP2	296294
TPR	64042
CP	59420
KATNIP	230237
DTNBP1	140258
XK	46340
ANO2	414364
C12orf4	50774
SCML1	17540
WWC3	128917
ARHGAP6	528378
FAM184B	152207
MAP4	238583
GOPC	42274
ROS1	137556
USP28	77697
HDAC9	915468
TSPAN17	11668
NOP16	5038
CC2D2A	131693
RRM2B	34617
ZNF800	85135
TNFRSF17	2859
SNX29	597554
LMO3	62223
MRPS10	11055
GUCA1A	24651
RSF1	161022
VPS13D	282018
CELF2	538279
FAM120A	114428
R3HDM1	193816
COL9A2	17325
KITLG	88059
ERCC8	71243
ADAMTS6	333183
H6PD	36563
VAMP3	10137
PER3	60858
UTS2	10430
TNFRSF9	27272
EPN3	11069
LTBP1	452557
RCN1	14852
ELN	42119
RFC2	22960
ARID1B	434760
CLPTM1L	27348
NEDD4L	357315
FOXP3	20042
PPP1R3F	31619
HEXB	82625
PTCD2	48029
NEXMIF	192630
JKAMP	20968
DKK3	46664
ARHGEF5	25345
NFE2L3	34940
MCUR1	28012
LIMA1	107759
LETMD1	12463
SLC4A8	124447
LAMC3	85300
PTGER3	195456
TNIP3	96059
MAPK9	58957
COL23A1	352776
BCAR1	39873
FAM160A2	23377
HERPUD1	12723
HOMER3	12061
RAD51	37567
POLQ	115215
PIK3CB	182240
CYBA	7766
THOC3	116808
HEBP2	18667
MPHOSPH9	91695
PLEKHA5	246649
PRSS8	4295
SIKE1	11207
RRP12	69719
FNIP2	139025
MSMO1	15498
TTC17	136014
ALX4	49727
FSTL4	416087
FOXN3	494279
METTL24	112345
AKR7A2	8182
MRTO4	8324
NNAT	2485
USE1	4484
MCF2L2	250736
NRIP2	10197
LAMA3	266780
AP5M1	29819
ANAPC4	41286
KCNQ1	404427
TRAPPC3	19484
THRAP3	80926
PHPT1	2304
ENTPD2	5955
LY75	101402
ARID4B	196586
OPN3	87275
SDCCAG8	244058
PTPRN	20026
HHAT	348045
KIF1B	170799
FOXC1	3983
TBC1D22A	413083
SYNE2	373451
PLEKHH1	56312
ATP9A	172121
SPO11	14236
CBLN4	8033
CHRDL2	34957
FAM168A	197703
RELT	21076
GALC	155846
NOP58	37926
SZRD1	45571
KCNH2	33355
CUL1	103197
FAM114A2	48789
CYFIP2	129517
TAB2	192973
GINM1	25455
EIF2AK2	57856
USP36	54061
KMT2C	301084
MCOLN3	30419
CCDC85A	202183
PUM2	103544
MRPL43	18058
ITIH4	17765
ITIH1	14474
HPF1	28475
ZFR	90391
ZNF280C	66193
NPFFR2	116264
PHF21B	128844
TRAF1	26781
RC3H2	60804
IL17RB	19227
TRAF3IP2	51529
GYG2	53999
DCBLD2	105755
SERPINB3	6697
SOAT1	64967
PKP2	106096
MSH4	116361
F7	14894
GDI2	76910
PRDM1	116477
ATG5	280369
TMCC3	83436
PITHD1	9815
MTA3	262379
USP13	136362
ATP11B	128127
LAMC2	58663
CDK14	744167
SEC61A1	20043
PPP1R12A	161898
RASGRF1	130827
CAMK2B	117428
CROCC	232692
POLR3E	37727
ATP2B4	117521
ZC3H11A	59346
RIOK2	22381
YIPF1	38080
NDC1	72986
DGKG	256567
FLYWCH1	39272
UNKL	51547
TBXAS1	243275
PARP12	39978
ALDH18A1	50771
TARBP1	87867
GATB	90504
MXD1	45258
CDK17	122220
DNAJC25	23018
SLC2A3	16958
PSD	18923
CTDP1	76823
YBX3	24235
STYK1	55396
WNK1	158874
RPS17P5	408
CCAR1	71366
OGFR	9166
GNA15	27577
CREB3L3	19424
PIGV	10927
PTPRU	90298
SNRNP40	37221
RIMBP2	320145
COL11A1	232406
QSER1	100497
MPC1	18095
ACAA1	34114
BCAT1	139078
HDAC7	50411
LZTS1	57799
PRDM6	105026
WNT8A	8474
SPAG4	5158
NCKAP1	129744
MRPS35	45474
GUCY1B1	48783
SFSWAP	88657
TNK2	45645
MON2	133660
CDH3	86428
ARSF	71256
GPBP1	90732
DGAT2	42024
ZNF112	40663
CS	28693
LTK	10251
MRPS24	3336
ELMO2	66936
WAPL	86537
VMP1	135064
APPBP2	83085
POLD1	33813
SEZ6	51540
EIF4B	36052
SLC6A16	35588
BICRA	95082
SPHK2	11427
RPL18	3857
CA11	8242
ISOC2	9359
U2AF2	20570
EPN1	34633
MED29	9335
AHRR	113352
GSC2	1708
ZNF275	25964
MTMR1	72138
GPC1	32414
ADCK1	134906
HAGH	31538
RNF4	163101
CASP8	54269
LIMCH1	340438
INTS13	33146
TM7SF3	42856
DLX3	5220
SPA17	23721
TSPAN32	16204
CCN5	13666
DMRT3	15078
ST3GAL6	88966
ATP2C2	95661
NGFR	19716
CDON	107540
TAF2	102068
HIPK2	216429
TNPO3	100994
BORCS8-MEF2B	46592
RFXANK	9641
TMEM161A	19345
LPAR2	5276
CTSA	8677
SUGP2	43136
SLC12A2	105912
SNX24	185916
EYA2	294221
CNN2	12483
ABCA7	25472
SNCAIP	152866
DDX20	12756
BTBD1	50933
FAR2	191878
BCAS1	133818
POU1F1	17184
CHI3L2	42670
SBNO2	66632
PMS1	93545
HMG20B	6312
CALCRL	106497
TAF11	10628
ANKS1A	202152
AP3D1	63481
ZNF76	37077
SLC9A3R2	13671
NTHL1	8052
UHRF1BP1	91124
GNAI3	69710
IPO5	70640
OAT	21674
WDR3	36824
PKN2	152034
WDR18	14168
TRAM2	79653
NTN1	222491
GLP2R	69894
MCM10	49551
DGKA	26709
ERBB3	26707
ROPN1	23658
ANKRD44	344157
KARS1	21170
ADAT1	26320
PDIA5	158203
TBC1D22B	75199
NDUFB4	6180
SPEN	92750
MYLK	274283
ZC3H15	23109
MAP2K4	123002
PACC1	50971
SNAP91	156812
SLK	62094
CYB5R4	107768
COL17A1	54672
GSTO2	36078
SEC61A2	40325
PRKCQ	153159
TLE2	49997
ASB1	25509
FAM107B	256341
ME1	220650
TBC1D1	248092
CDK13	149460
MTHFD2	18956
SLC9A7	159868
FOXJ2	22802
YBX1	21388
PDE4A	52858
PPP2R5A	76444
CTNNA2	1463631
ELAVL1	47087
TIE1	22127
DIP2B	243673
SMARCD1	15741
KDM4A	55370
NFYC	79956
ZMYND12	25925
SLC9A3	53875
NGEF	134556
ASPM	62568
CD84	38422
ELOVL1	4677
SPI1	23717
POLR1H	6011
MPPED2	202380
CLDN18	34921
ZBTB11	28607
ATXN3	62130
GOLGA5	45643
FGFR2	120125
LRRC40	60775
ISOC1	19280
EML1	204368
TRMT11	217339
THUMPD1	39269
MSANTD3	24556
KIF26A	42172
ATG2B	84147
ARFGEF1	170271
ACSM2B	40202
ZFAT	235262
MTFR1	126528
STAG3	43926
FECH	42314
MYO9A	296287
DDX3Y	16371
PFKP	71386
IDI1	10019
SP100	129665
KLF6	9286
PLPP1	110116
NEO1	253496
TRAM1	35199
PHKA1	135506
TNFRSF1A	13358
CACNB1	24251
EVI5	283709
STOML1	15697
PKM	32794
DHX29	51640
DNTTIP2	13635
METTL22	27972
TP53BP1	107668
TRO	10970
RRP15	52691
RHOA	53854
DHX8	126474
PMS2P4	14879
PRKCZ	134985
ZFY	47226
IARS2	53910
SYT1	588016
NAV3	888370
IDH3G	8758
ROGDI	5983
PDZD4	28400
ATP2B3	65264
ROCK1	164908
CBFB	72075
PDK3	85246
HYAL2	4993
HDAC4	353487
RASSF1	11199
FGFR3	15580
IFI35	7732
HEATR6	35738
COASY	4811
PLEKHH3	9081
MEF2A	151050
OTUD5	36359
TFE3	14685
TBC1D25	22896
ACSL4	109160
INPP5A	245694
GPKOW	10329
GRIPAP1	28545
FTSJ1	10344
PRR11	49207
REEP1	124091
ATP11A	196840
POLR1A	85940
LAPTM4A	18979
TTC7A	159981
IP6K2	52351
STON1-GTF2A1L	246593
SRBD1	223486
KIF2A	231088
RASGRP2	18546
PSME4	106925
IFT80	142895
SIRT2	21308
ERLEC1	31776
PPP2R5B	16923
PYGM	13586
PAGE1	8538
PITX1	7080
TRPC7	152226
MAST4	573235
ADGRF5	102422
SDK2	310062
ADAM7	86041
NUP133	68083
NUCKS1	37361
VPS35	33387
DNAJA2	18313
BCL3	12340
KCNAB2	109728
ABCC9	145129
GAL	7397
CLEC2D	34585
FUNDC1	19221
MAOB	115841
RORA	741019
DRD4	3414
TGFBR3	225993
PLA2G10	22125
HES2	12253
ATP1B3	50426
NEDD4	166825
PIGB	36689
MAPK6	115270
GNB5	76265
RAB27A	116148
HDHD5	27777
UFD1	29292
LRP6	151020
GUCY2C	83968
SCT	873
PHRF1	35753
ELP1	66608
NUCB2	141828
PFN2	85885
PTPN3	122848
SPTB	133625
DAPP1	53364
FGF10	86163
SLC44A1	194550
TMEM260	162253
SMG6	243947
EXOC5	68399
CLTCL1	112247
FGF22	4493
FSTL3	7001
DGCR2	86173
RNF126	15708
MNT	17032
ZXDC	38291
JMJD6	13968
POLB	33355
ST6GALNAC1	19026
WIPI1	36566
FRMPD1	95951
GBA2	12363
NDST1	72394
ASNS	20866
AP3M2	18728
CNGB1	88777
ST6GALNAC2	21578
CHAT	56010
PABPC1	36994
TESK2	147281
CFAP20	15790
CSNK2A2	40200
PTPN21	89230
EIF2B3	136201
CAMK2A	70801
TCOF1	42680
CDC42	75850
OSBPL3	185095
EPHA8	40107
SLC12A3	50644
RAD18	188372
ATP2B1	121252
TRPM5	18531
NCK2	149363
MAP4K4	197840
MGAT4A	112027
RPL31	21804
WDR1	42611
SNX13	149741
MS4A12	14653
ARHGAP10	340718
RPS6KA2	497088
ING3	26454
VASH1	21548
LMCD1	72862
BUD23	22137
SEL1L	62307
TRIP13	26474
ATP6AP1	7872
TCF3	43332
TRIB2	25846
DAZAP1	28119
MBD3	19270
PRLH	602
HLTF	56428
FAM50A	6514
FAM3A	10084
CPSF1	16107
MYO3B	477027
CYBRD1	35883
CDH19	103056
PDCD2	9398
SLC6A15	54125
RDH11	18994
PRKACA	26397
ADGRL1	58445
SPP2	26456
ACTN1	105298
ZFYVE26	89217
RPS6KA6	129854
EPN2	121101
PTPN18	19361
LIMS2	43406
ASIC4	24603
SPEG	58787
LNX1	242105
ALDH3A2	29463
TFRC	54914
SREBF1	26604
TRPC5	308462
AFF4	88240
UBE2D1	35773
MPP5	94711
RHOBTB1	132003
SMC1A	48580
HSD17B10	3116
MARK2	72092
HMMR	31739
CHFR	134118
TRHDE	583492
P4HA2	103478
FCGR2B	15508
NFATC3	144509
TRNT1	23947
ACADVL	8142
STK10	146146
FBXW11	145325
ACAP1	14949
CRMP1	144975
EVC	103105
DERL2	15558
SIDT1	97283
NDE1	83087
IRAG1	120898
TMEM38A	28885
AP1M1	48330
PVR	22365
XRCC1	37434
SCARB1	105813
CYP2W1	6460
MCM2	24027
MOV10L1	71812
PANX2	9564
SELENOO	16638
TP63	265888
ALPK1	157113
LLGL2	50129
PDE8A	158706
CLCN4	80716
NLE1	13575
SDHA	38842
SMARCE1	23693
FNDC8	9118
GSDMB	15260
KDM5A	109326
ADAM11	22859
PPP2R3A	182167
FERMT2	95168
ABCB11	115827
DHRS9	31379
CD5L	67346
PTGS2	8633
IGF2BP2	181318
MAP3K13	206154
ST6GAL1	148052
TBX21	12887
VDAC1P1	848
FRY	452410
PICALM	112708
NSF	166796
GLI2	257031
CLASP1	311812
MRPS34	1266
NOTCH3	41958
CLNS1A	122870
PPP2R2C	243023
TEAD2	21863
EED	34061
CDHR2	53464
SNCB	10475
TSG101	58616
NCBP3	44089
ATP2A3	40595
CA12	60469
MGLL	363129
NTN4	133346
BCS1L	4680
NUAK1	76694
DPP8	75242
SLC24A1	49630
ZNF532	123881
SCARF1	11887
LMAN1	31443
HACD3	47932
IPCEF1	202297
ZZEF1	138586
NOX3	60534
ENO1	18251
SLC12A1	125641
MYDGF	28997
ANO8	11633
TUBE1	16867
ARHGEF10L	158177
TXK	67858
WSCD2	121250
KCNQ2	72468
TACR2	12965
ACTR6	42744
TIPIN	50556
SRI	21876
EIF4G3	370597
NUP37	47018
SEMA3A	536948
GTSE1	33941
SEMA3C	179822
TTC38	26048
ACAT1	26261
GRAMD4	103779
CELSR1	176337
WNT8B	20704
ZNF638	158509
SLC25A40	42793
TIMM21	12009
ADD2	160608
FGF4	4320
RASAL2	390007
VPS9D1	13765
ZNF37A	55960
MARK3	118440
SLC25A3	12789
FNDC3B	362092
FOSL2	24870
CACNG5	50370
CACNG4	68692
FRYL	282962
TMEM131	239616
FSCN1	13840
ACTB	36637
MOCOS	84661
PLD1	210547
ATP12A	32083
WDR62	50228
DLG1	256741
RAB7A	88675
BCAP29	49194
SEC31B	33219
SART3	39187
ARHGAP15	676991
TUBA3D	6816
PAX2	94339
EXOSC7	60826
KIFAP3	163883
MKRN2	26627
MCM6	36818
REXO2	10894
RBM7	14174
RBMS2	74374
BAZ2A	41221
PTPN23	32425
MLH1	57587
UNG	13419
FMO4	27902
KLHL20	71752
RGS11	7680
SLC46A1	12556
PLXNA2	222143
SPAG5	21461
ANKRD13A	40578
TPD52	196488
ACACB	151632
TRAF4	6952
PAG1	144259
GPATCH1	49663
ICAM3	5886
NT5C2	105290
MCAM	12993
GPC4	115387
MBNL3	120652
CAMSAP3	22403
RAP1GAP	73149
XAB2	10021
ARHGEF1	46990
STXBP2	10993
MAP2K7	10636
NMRK2	9314
DGKD	117598
CTTNBP2	163489
ACTL6B	13365
RARB	423601
TOP2B	67003
TM9SF3	69343
NFKB2	8415
UBE2T	10324
PPP1R12B	244008
DNAJC10	78424
GTF3C1	90359
IL4R	51111
USP33	63866
PAK3	283077
CAPN6	25385
DCX	118651
SNRPA	14753
SPAG6	108780
EXOSC5	10986
DYNC1I2	61012
APBB1IP	129463
LRCH4	12119
FAM76B	21457
SIRT6	8458
TYR	117885
POLD3	175267
ACTN2	100491
CAPZB	146765
GPR137B	79361
NAALAD2	61380
JADE1	65525
SLC25A43	55143
UBE2A	16548
FGFR1	68620
FKBP6	30477
SMC1B	69557
FBLN1	98898
ITGA8	205969
CST7	10660
MAP2	310061
PIAS2	116943
AMPH	247717
ARAF	10821
MCCC1	100858
LAMP3	41625
FAP	74468
NEBL	394215
ACER3	165931
UBE2K	84684
PIK3C3	132597
N4BP2	101403
TIGAR	52266
TULP3	63916
SYNJ2	117314
ADCY2	433874
PPP2R5C	166192
PMS2P1	20917
RBFOX1	2473537
GNB1	105833
HOXA9	12743
EDN1	6834
MLLT10	218985
ZCWPW1	28167
ADCYAP1R1	59019
FGF20	10165
P2RY10	18396
ITM2A	7284
NRDC	89747
VDAC3	14314
PCM1	107105
TNRC6C	149596
CBFA2T2	159962
BRINP1	215978
ITCH	148159
PKD2L2	54780
TP53INP2	9101
SDF4	15124
MYH7B	27035
BPIFB2	16000
TP73	83686
TOLLIP	35284
UBE2D4	29701
CLUL1	53347
RUNX1T1	148320
CDH17	90142
THOC1	53531
FKBP7	14937
OSBPL6	208413
SLC1A3	81980
XRCC5	98840
LXN	26827
SP140	110106
MKNK1	59436
TNS1	234395
REXO1	33236
SAR1A	23235
CDC14A	175277
RAPGEF3	36678
CEACAM1	53931
SENP1	63183
DUSP13	14790
CIC	27261
LIPE	25875
FDFT1	43732
PAFAH1B3	6514
OPHN1	391570
AFM	22257
KIF22	14667
SCGN	49583
CARMIL1	341453
PGM1	66835
DDX1	39934
DNM2	115410
EPB41L2	223976
RIMS1	516441
MOXD1	105421
STX7	67332
RABL2B	16163
KEAP1	17434
DDX43	22739
PTPRH	28260
DCT	42872
SLC35C2	18479
CRYBG3	122974
EPHA6	937880
SCTR	85459
RFX3	307708
RIF1	98131
RAB21	45424
SLC4A4	509421
SMARCA2	213335
RDH8	9031
SESN1	108383
MID2	101439
DNAAF6	37612
COL5A3	50944
SRCAP	43201
PUM3	123627
CPB2	51848
CHRNA3	28244
KCNN2	440956
CNOT4	148333
PSEN1	87274
CPOX	14278
CLDND1	25155
MOK	80691
HSP90AA1	58962
RBL1	99647
DLGAP4	222302
IGSF9B	48422
CFHR2	15885
CROCCP3	31822
NDC80	45079
AP4E1	97224
RSBN1	50645
MAGI3	295409
CXCL2	2157
AFP	25037
COL4A4	161743
TCF7	37185
OSTM1	124446
CDH7	140086
IMPG2	98030
PCNP	20343
EXD2	52510
ARG2	31789
MEF2C	187141
PTPRC	119020
CACNA1S	72940
PKP1	49542
UBA5	23652
STK17B	42921
CDC14B	129590
ZNF510	22265
LRP2	235426
ZNF506	35913
JMJD4	4987
DUSP12	7481
AACS	77900
DELE1	18193
SLC13A1	86442
CADPS2	568349
PCDHB4	3825
PCDHA6	184390
PCDHGA2	174216
HSPB11	29356
PHLPP1	264893
ATP8B1	156890
IL12RB2	89727
SMARCD3	39133
WDR70	374224
FYB1	169277
MPP4	53825
STRADB	92989
BZW1	16745
PGR	100901
C1QTNF3	24385
ME2	75178
C5orf22	22767
CCNT2	41108
FAM135A	148234
COL19A1	345913
EPB41L3	238320
COBLL1	190056
DLG3	60656
KCNK2	231319
SERTAD4	13836
TRAF5	48332
MRPL22	28339
